user,label,score
0,pos,918.5460205078125
0,neg,915.1446533203125
0,neg,908.013427734375
0,neg,911.44140625
0,neg,909.9365234375
0,neg,910.9296875
0,neg,907.7847290039062
0,neg,908.3706665039062
0,neg,913.1699829101562
0,neg,911.1116333007812
0,neg,907.59716796875
0,neg,909.2340698242188
0,neg,911.177490234375
0,neg,909.2137451171875
0,neg,908.0178833007812
0,neg,907.843017578125
0,neg,910.5800170898438
0,neg,911.2081909179688
0,neg,910.4293212890625
0,neg,909.0589599609375
0,neg,910.1690063476562
0,neg,910.220458984375
0,neg,910.8246459960938
0,neg,908.4113159179688
0,neg,909.8424072265625
0,neg,916.0247192382812
0,neg,912.802001953125
0,neg,910.338623046875
0,neg,909.6419677734375
0,neg,911.107421875
0,neg,911.3646240234375
0,neg,910.69091796875
0,neg,909.740966796875
0,neg,909.427490234375
0,neg,906.2579345703125
0,neg,911.4755249023438
0,neg,911.3132934570312
0,neg,910.9163818359375
0,neg,908.9011840820312
0,neg,911.6976928710938
0,neg,907.99560546875
0,neg,914.7824096679688
0,neg,912.0902099609375
0,neg,909.6170043945312
0,neg,908.0918579101562
0,neg,907.6776123046875
0,neg,916.1862182617188
0,neg,910.0691528320312
0,neg,909.6615600585938
0,neg,906.6270751953125
0,neg,908.96728515625
0,neg,907.9193725585938
0,neg,906.3546142578125
0,neg,909.8003540039062
0,neg,911.60400390625
0,neg,907.74853515625
0,neg,914.7489013671875
0,neg,905.1920776367188
0,neg,908.3397216796875
0,neg,915.6362915039062
0,neg,915.2852783203125
0,neg,909.0934448242188
0,neg,915.5667114257812
0,neg,913.0369873046875
0,neg,911.8754272460938
0,neg,913.7569580078125
0,neg,911.588623046875
0,neg,914.4231567382812
0,neg,911.2029418945312
0,neg,912.7740478515625
0,neg,904.1082763671875
0,neg,910.5949096679688
0,neg,906.8281860351562
0,neg,909.7606201171875
0,neg,909.0054321289062
0,neg,912.1517944335938
0,neg,915.2233276367188
0,neg,909.3970947265625
0,neg,911.3471069335938
0,neg,915.48828125
0,neg,914.2456665039062
0,neg,910.2241821289062
0,neg,911.0844116210938
0,neg,913.0180053710938
0,neg,911.2554321289062
0,neg,908.7315673828125
0,neg,910.1070556640625
0,neg,909.7924194335938
0,neg,907.2021484375
0,neg,913.314208984375
0,neg,911.8613891601562
0,neg,908.933349609375
0,neg,906.7947387695312
0,neg,906.3736572265625
0,neg,910.565185546875
0,neg,913.13330078125
0,neg,912.275146484375
0,neg,912.7581176757812
0,neg,907.634033203125
0,neg,909.290771484375
